timestamp,tweet,username
Wed Oct 31 06:57:11 +0000 2018,"RT @KSPgoid: 1. Selasa malam, Presiden @jokowi blusukan ke Pasar Bogor yang berlokasi di Jalan Roda, Kota Bogor. Blusukan ke pasar tradisio…",Agustaju1
Wed Oct 31 06:57:10 +0000 2018,RT @SatgasDanaDesa: #Kawaldanadesa Pemerintahan Presiden Jokowi - JK dari tahun 2015 - 2018 telah memberikan dana desa lebih dari 187 T. Ma…,abdulwahid_ola
Wed Oct 31 06:57:08 +0000 2018,"@AhmadBeto pemain over takpa lagi, yg presiden hang dok syiok sendiri tu tak boleh blah 😂",xmierul_
Wed Oct 31 06:57:06 +0000 2018,RT @venniyaqr: @kaesangp @SangPisang2017 Anak presiden jaman skrg kalo butuh sesuatu bukan ngerengek ke bapaknya ya tp ke rakyatnya,zuhrufun
Wed Oct 31 06:57:04 +0000 2018,"RT @ekowBoy: Ya Allah.. Bangsaku..
Permasalahan seperti ini jangan sampai ke meja presiden, kebangetan!! 

Beliau sedang sibuk menyusun jan…",StalistS
Wed Oct 31 06:57:02 +0000 2018,"RT @S0N_2000: Santri Klaten Doakan Prabowo Jadi Presiden Amanah
https://t.co/qLz0D8T4s8",pendekar58
Wed Oct 31 06:57:01 +0000 2018,"@irenerputri berdasarkan wikipedia, presiden cm punya dua anak",Arichi_Lorery
Wed Oct 31 06:56:54 +0000 2018,RT @Ferdinand_Haean: Buat bapak ngga mahal krn pake APBN. Seorang presiden hidupnua ditanggung olh APBN https://t.co/uYINqA6jLH,daulay_margana
Wed Oct 31 06:56:53 +0000 2018,"RT @asboediono: Saya beritahu ya, saya itu tidak ada urusan #Siapa yang Menjadi Presiden, saya cukup Hormat kepada yang bersangkutan, tidak…",DaengElla
Wed Oct 31 06:56:53 +0000 2018,"RT @J2Pid: Blusukan ke Pasar Bogor, Presiden @jokowi ingin memastikan harga stabil. #JokowiBlusukan #01JokowiLagi #01IndonesiaMaju https://…",AlbanaBabel
Wed Oct 31 06:56:51 +0000 2018,RT @iloveyouIPOH: Tahukah kome.  Kebodohan PRESIDEN PAFA. Cuti ahad isnin haritu buat apa? Harini dia pergi parit buntar bawak piala tu sor…,AfdalNazri
Wed Oct 31 06:56:46 +0000 2018,"Santri Klaten Doakan Prabowo Jadi Presiden Amanah

https://t.co/bHLNRDgYxE

Apapun isi TL nya tetap :… https://t.co/1Cc5Q9A5to",ahfau1
Wed Oct 31 06:56:46 +0000 2018,"RT @ekowBoy: Ya Allah.. Bangsaku..
Permasalahan seperti ini jangan sampai ke meja presiden, kebangetan!! 

Beliau sedang sibuk menyusun jan…",abu_syfa
Wed Oct 31 06:56:45 +0000 2018,"Statement Ente mirip Bakteri @sandiuno 😌

*Untung disamping gw gak ada tombak yg ujungna congor kobra* 😒

https://t.co/DgfjLO3z3l",wArna_sUara
Wed Oct 31 06:56:43 +0000 2018,"RT @TranceX9: Jokowi adalah Presiden TANPA subsidi bagi rakyat miskin. PDIP ngaku wong cilik tapi malah pro-konglomerat.

Sekarang, rakyat…",SherlySefty
Wed Oct 31 06:56:43 +0000 2018,RT @iloveyouIPOH: Tahukah kome.  Kebodohan PRESIDEN PAFA. Cuti ahad isnin haritu buat apa? Harini dia pergi parit buntar bawak piala tu sor…,irmanfarhan
Wed Oct 31 06:56:43 +0000 2018,Apa hubungannya pesawat kecelakaan dg ganti presiden.,al_birra
Wed Oct 31 06:56:41 +0000 2018,"RT @MSAokepunya: FOLLOW BERJAMAAH
Rabu penuh rindu💙
Rindu datangnya Presiden baru

#SalingFollow dimulai

Caranya
👉Follow @MSAokepunya
🔃Ret…",Bang_Jhony_
Wed Oct 31 06:56:40 +0000 2018,"RT @tey_aih: Ada la orang, kesian Presiden PAFA kena tuduhan melulu. kah kah kah

@iloveyouIPOH https://t.co/sTrZsCsX7H",TheIzzatHaikal
Wed Oct 31 06:56:39 +0000 2018,"RT @bundaraya2709: Polling Yuk..

Menurut kamu, manakah diantara dua Pemimpin ini yg amanah sudah menjalankan tugasnya dgn baik &amp; memenuhi…",miskamguno
Wed Oct 31 06:56:38 +0000 2018,"RT @Neng_Geulis_: Saat terpilih menjadi Presiden RI, Jargon yang di pilih oleh @jokowi adalah Kerja, Kerja, Kerja. Sampe Malam ini Pun beli…",woelannnn
Wed Oct 31 06:56:38 +0000 2018,RT @iloveyouIPOH: Tahukah kome.  Kebodohan PRESIDEN PAFA. Cuti ahad isnin haritu buat apa? Harini dia pergi parit buntar bawak piala tu sor…,AmmarBakarr
Wed Oct 31 06:56:34 +0000 2018,Era kepemimpinan presiden jokowi menciptakan kondisi kondusif bagi generasi milenial berkarya #DukunganEcommerce… https://t.co/BfitWUGlvk,EmiraIndah
Wed Oct 31 06:56:33 +0000 2018,"RT @konidinadin: Miris ! Demo Aksi Para Guru Di Depan istana Presiden Menyimpan Cerita Kesedihan , Duka &amp; Derita Para Guru 
cc : @Fahrihamz…",Herculeanadiwa1
Wed Oct 31 06:56:28 +0000 2018,RT @Ferdinand_Haean: Buat bapak ngga mahal krn pake APBN. Seorang presiden hidupnua ditanggung olh APBN https://t.co/uYINqA6jLH,Yusup2018
Wed Oct 31 06:56:26 +0000 2018,"Angka pengangguran yang sempat berada di level 5,13% pd 2018 ini merupakan yg terendah sejak krisis 1998. Bukti ker… https://t.co/NYB4MjowIS",ErickVe
Wed Oct 31 06:56:22 +0000 2018,"RT @BanyuSadewa: Di Indonesia kalo lagi ada musibah, solidaritas warga negara nya tinggi juga yah ...

.
.
.
.
.
.

solidaritas nyebar hoax…",pilailati
Wed Oct 31 06:56:22 +0000 2018,"Bukan Pencitraan, Ini Alasan Presiden Jokowi Sering Blusukan https://t.co/yLfBNwEMDW",amacaci
Wed Oct 31 06:56:19 +0000 2018,"RT @maulinaantika: Tempe Khot News:
""PDIP:wajah presiden lucu kaya gini ko dibilang otoriter""

Hitler juga lucu buktinya dia otoriter

Otor…",Hery2375
Wed Oct 31 06:56:19 +0000 2018,RT @iloveyouIPOH: Tahukah kome.  Kebodohan PRESIDEN PAFA. Cuti ahad isnin haritu buat apa? Harini dia pergi parit buntar bawak piala tu sor…,ShahiraNis
Wed Oct 31 06:56:17 +0000 2018,"RT @ekowBoy: Ya Allah.. Bangsaku..
Permasalahan seperti ini jangan sampai ke meja presiden, kebangetan!! 

Beliau sedang sibuk menyusun jan…",basoamir
Wed Oct 31 06:56:17 +0000 2018,Presiden yang visioner. Semangat anak muda berkembang maju diapresiasi dengan kebijakan pro industri kreatif. #Indonesia4BesarDunia,lynn_kasan
Wed Oct 31 06:56:14 +0000 2018,"RT @detikcom: Presiden @jokowi heran dengan aduan soal dirinya ke Bawaslu terkait kebijakan menggratiskan Jembatan Suramadu, ""...Jangan di…",d_e_rajendra
Wed Oct 31 06:56:10 +0000 2018,RT @iloveyouIPOH: Tahukah kome.  Kebodohan PRESIDEN PAFA. Cuti ahad isnin haritu buat apa? Harini dia pergi parit buntar bawak piala tu sor…,JabirWf
Wed Oct 31 06:56:09 +0000 2018,"RT @maulinaantika: Tempe Khot News:
""PDIP:wajah presiden lucu kaya gini ko dibilang otoriter""

Hitler juga lucu buktinya dia otoriter

Otor…",StalistS
Wed Oct 31 06:56:08 +0000 2018,"RT @alrasyidkhan11: Jika melihat kondisi Indonesia saat ini,menurut antum calon presiden yg pantas memimpin Indonesia adalah yg berlatang b…",arena51
Wed Oct 31 06:56:08 +0000 2018,"RT @MRizuanmh: Sebagai anak Perak, teman rase geli nau tengok Presiden PAFA yg ini. Dia punya claim tu sampai tahap masuk kubur tanam sendi…",syaff_wan
Wed Oct 31 06:56:06 +0000 2018,"Presiden tegas dan visioner, memimpin untuk kesejahteraan rakyat, jajarannya kerja, kerja, dan kerja. Angka kemiski… https://t.co/Ucxdo4KTst",ErickVe
Wed Oct 31 06:56:05 +0000 2018,"RT @NurmaTgr: Trimakasih pak presiden , di bawah kepemimipanan mu slm 4thn lbh bnyk membawa perubahan  , mari teman 2 kita hantar 1x lg jok…",bangzul_1988
Wed Oct 31 06:55:59 +0000 2018,"RT @ApriliaLin: Sekedar mengingatkan

1. Suriah semenjak 2009 ada #2011 ganti presiden bergema

2. Membangun kebencian terhadap pemerintaha…",JajangRidwan19
Wed Oct 31 06:55:56 +0000 2018,"Presiden tegas dan visioner, memimpin demi kesejahteraan rakyat, jajarannya kerja, kerja, dan kerja. Angka kemiskin… https://t.co/HsYxCOmLq2",Prasjo6
Wed Oct 31 06:55:55 +0000 2018,"Dulu, tiga bulan setelah Novel diserang, Presiden Joko Widodo (Jokowi) angkat bicara. Ia memanggil Kapolri Tito Kar… https://t.co/1TRrSVs0Tn",didienAZHAR
Wed Oct 31 06:55:53 +0000 2018,"RT @ErnaProjo: Knpa pilih @jokowi ?karena bukan anak siapa2,  kalo Jokowi bisa jadi Presiden, berarti anak kita pun bisa Jd Presiden, krna…",De_Ch4
Wed Oct 31 06:55:50 +0000 2018,"RT @ronavioleta: Kutip : Berita duka buat kita semua. Bapak presiden tidak mau menerima kita hari ini"" Nurbaiti (Korwil FHK2I DKI Jakarta)…",ghazimovreeh
